model,mutant,iter,nan_loss_mean,nan_loss_std,nan_loss_skew,nan_loss_median,nan_loss_var,nan_loss_sem,nan_loss_max,nan_loss_min,test_not_well_mean,test_not_well_std,test_not_well_skew,test_not_well_median,test_not_well_var,test_not_well_sem,test_not_well_max,test_not_well_min,test_turn_bad_mean,test_turn_bad_std,test_turn_bad_skew,test_turn_bad_median,test_turn_bad_var,test_turn_bad_sem,test_turn_bad_max,test_turn_bad_min,sc_accuracy_mean,sc_accuracy_std,sc_accuracy_skew,sc_accuracy_median,sc_accuracy_var,sc_accuracy_sem,sc_accuracy_max,sc_accuracy_min,died_relu_mean,died_relu_std,died_relu_skew,died_relu_median,died_relu_var,died_relu_sem,died_relu_max,died_relu_min,vanish_gradient_mean,vanish_gradient_std,vanish_gradient_skew,vanish_gradient_median,vanish_gradient_var,vanish_gradient_sem,vanish_gradient_max,vanish_gradient_min,explode_gradient_mean,explode_gradient_std,explode_gradient_skew,explode_gradient_median,explode_gradient_var,explode_gradient_sem,explode_gradient_max,explode_gradient_min,nan_gradient_mean,nan_gradient_std,nan_gradient_skew,nan_gradient_median,nan_gradient_var,nan_gradient_sem,nan_gradient_max,nan_gradient_min,large_weight_mean,large_weight_std,large_weight_skew,large_weight_median,large_weight_var,large_weight_sem,large_weight_max,large_weight_min,nan_weight_mean,nan_weight_std,nan_weight_skew,nan_weight_median,nan_weight_var,nan_weight_sem,nan_weight_max,nan_weight_min,weight_change_little_mean,weight_change_little_std,weight_change_little_skew,weight_change_little_median,weight_change_little_var,weight_change_little_sem,weight_change_little_max,weight_change_little_min,decrease_acc_mean,decrease_acc_std,decrease_acc_skew,decrease_acc_median,decrease_acc_var,decrease_acc_sem,decrease_acc_max,decrease_acc_min,increase_loss_mean,increase_loss_std,increase_loss_skew,increase_loss_median,increase_loss_var,increase_loss_sem,increase_loss_max,increase_loss_min,cons_mean_weight_mean,cons_mean_weight_std,cons_mean_weight_skew,cons_mean_weight_median,cons_mean_weight_var,cons_mean_weight_sem,cons_mean_weight_max,cons_mean_weight_min,cons_std_weight_mean,cons_std_weight_std,cons_std_weight_skew,cons_std_weight_median,cons_std_weight_var,cons_std_weight_sem,cons_std_weight_max,cons_std_weight_min,nan_acc_mean,nan_acc_std,nan_acc_skew,nan_acc_median,nan_acc_var,nan_acc_sem,nan_acc_max,nan_acc_min,loss_mean,loss_std,loss_skew,loss_median,loss_var,loss_sem,loss_max,loss_min,accuracy_mean,accuracy_std,accuracy_skew,accuracy_median,accuracy_var,accuracy_sem,accuracy_max,accuracy_min,val_loss_mean,val_loss_std,val_loss_skew,val_loss_median,val_loss_var,val_loss_sem,val_loss_max,val_loss_min,val_accuracy_mean,val_accuracy_std,val_accuracy_skew,val_accuracy_median,val_accuracy_var,val_accuracy_sem,val_accuracy_max,val_accuracy_min,label
config_random_29e38250-5d3d-487e-9632-d5976cbfb3d8,ft,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8333333333333333,-0.5917517095361371,2.449489742783178,-1.0,-0.8333333333333334,-0.28054692883329124,-1.0,0.0,0.16666666666666666,0.40824829046386296,2.449489742783178,0.0,0.16666666666666669,0.16666666666666669,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04541320995855336,0.27191119962629046,2.1136965977324707,-0.08423273388624192,0.0833021225633891,0.11033617085503819,0.608016348991394,-0.0888354104185104,0.02439199999999997,0.07305827533674256,-1.547816299184669,0.06288000000000016,0.006991057280000002,0.02938496040548102,0.062120000000000064,-0.12639999999999996,-0.06641736708148321,0.06084323115747037,3.1779684891959246,-0.0876954249048233,0.004966287240849009,0.02443427441477077,0.06390182655334464,-0.11170032433986665,0.05100800792376192,0.021817528962767587,-1.8699307734424662,0.05816000699996948,0.0007581189141396532,0.008655045975102329,0.06187999248504639,0.004360020160675049,0
config_random_29e38250-5d3d-487e-9632-d5976cbfb3d8,ft,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.033333333333333215,-0.8955921905766666,1.908102691832093,0.0,-1.5333333333333334,-0.4164285228178633,-1.0,1.0,-0.43333333333333335,-0.13947426704130322,3.0580703622333623,-1.0,-0.13333333333333336,-0.07828230761165117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05433838433313376,0.2718129458290721,2.2184991558179745,-0.07424683475255961,0.08329872839825067,0.11029223042111264,0.6169082551383972,-0.0769244463872909,0.016807999999999934,0.07272169460564189,-2.0899461441206038,0.05392000000000008,0.006983326080000001,0.029234436926549486,0.0534,-0.13728000000000007,-0.05620598656733827,0.06336545167253184,1.9017482986444298,-0.07404809864521023,0.005012340127779468,0.025562245719955166,0.07411030700683585,-0.10784086541652677,0.0436160186926523,0.02377172689058368,-2.4591433468824873,0.05176001787185669,0.0007795690304326069,0.009528989856719532,0.05699998140335083,-0.006999969482421875,0
config_random_29e38250-5d3d-487e-9632-d5976cbfb3d8,ft,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.033333333333333215,-0.8955921905766666,1.908102691832093,0.0,-1.5333333333333334,-0.4164285228178633,-1.0,1.0,0.16666666666666666,0.40824829046386296,2.449489742783178,0.0,0.16666666666666669,0.16666666666666669,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04328111113119126,0.2770455147813818,2.519720320198398,-0.08808475194215776,0.08345262118031233,0.11263230639597649,0.6125303187751769,-0.09293698253154747,0.025367999999999946,0.07876815793812934,-1.817775118385236,0.06464000000000003,0.007087687680000001,0.031938497533529855,0.06908000000000003,-0.13415999999999995,-0.07219215569480258,0.0524316456843268,2.516833338755418,-0.09755109745502477,0.004720730583484906,0.020672499031471024,0.04920505107879636,-0.11051162569999695,0.06008000175158179,0.01381300164945437,-2.536512022737108,0.07311999797821045,0.0005905428941199869,0.0050753125350379074,0.06115996837615967,0.02012002468109131,0
config_random_29e38250-5d3d-487e-9632-d5976cbfb3d8,ft,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6333333333333333,-0.8955921905766666,2.9908767937342633,-1.0,-1.5333333333333334,-0.4164285228178633,-1.0,1.0,0.16666666666666666,0.40824829046386296,2.449489742783178,0.0,0.16666666666666669,0.16666666666666669,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04190768987607951,0.2791102713177844,3.1927222842382363,-0.09629931258440022,0.08349827962539051,0.11355569359045314,0.6170132892227173,-0.09602882771968835,0.029223999999999917,0.07674644473519177,-2.6970273685288357,0.06800000000000017,0.007060929920000001,0.03103435990297441,0.06843999999999995,-0.12919999999999998,-0.07104964289935417,0.06294299313320133,0.8666993814750086,-0.08922786935329441,0.0050055135762088025,0.02537331651763151,0.05651464580535881,-0.12434672326564788,0.05916800300280245,0.01986885515209167,-2.464621821244445,0.06879997253417969,0.0007291240089872513,0.007783572553773347,0.06859999895095825,0.011720001697540283,0
config_random_29e38250-5d3d-487e-9632-d5976cbfb3d8,ft,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6333333333333333,-0.03896530503609513,4.685557720282967,-1.0,-0.03333333333333341,-0.033333333333333354,0.0,0.0,-0.23333333333333336,-0.13947426704130322,1.8409091233329935,0.0,-0.13333333333333336,-0.07828230761165117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.050336130137920376,0.2781748796213653,3.3691095678050047,-0.08629545269250866,0.08347865148813151,0.11313737370669674,0.623297636938095,-0.08506313630580897,0.023287999999999975,0.0770145489228092,-2.9338434273546623,0.06240000000000012,0.007064948480000002,0.031154259740687397,0.06252000000000002,-0.136,-0.06383049522193279,0.06156302277867916,2.0144516306404165,-0.08154889851093294,0.0049807271929736,0.024756175013702298,0.06655550479412076,-0.11441210303783411,0.05427200595537818,0.021942465989663106,-2.355411514528858,0.06160002946853638,0.0007597188190582454,0.008710919512111349,0.0653199553489685,0.005720019340515137,0
config_random_29e38250-5d3d-487e-9632-d5976cbfb3d8,ft,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.8333333333333333,-1.1728905396203269,2.449489742783178,-2.0,-2.3333333333333335,-0.5404401145198809,-3.0,0.0,-1.0333333333333332,-0.4284117360702126,2.9617305753550607,-1.0,-0.5333333333333334,-0.20749907201072743,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.042932746403217315,0.2745233135618692,0.7921341981153485,-0.08697160538911825,0.08338527792332782,0.11150434372002391,0.6017031574058532,-0.0968470620298385,0.024295999999999984,0.07620737079948832,-1.151705143342978,0.06184000000000012,0.007052414720000002,0.030793278709948156,0.0674800000000001,-0.13048000000000004,-0.07358237565692255,0.06179352830062251,1.7787226951267439,-0.09314103703022003,0.004985132383532826,0.02485926021695318,0.054488004875183016,-0.12487270917415616,0.056016014019648175,0.021011561539562955,-1.7701273728356575,0.0639200210571289,0.0007470476659739472,0.00829460638591515,0.06739997863769531,0.010039985179901123,0
config_random_29e38250-5d3d-487e-9632-d5976cbfb3d8,ft,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.033333333333333215,-0.038965305036094966,0.21342176528338763,0.0,-0.033333333333333354,-0.033333333333333326,0.0,0.0,-1.0333333333333332,-0.4284117360702126,2.9617305753550607,-1.0,-0.5333333333333334,-0.20749907201072743,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04202485599088668,0.2762762032875119,2.602888105812495,-0.0889256288361549,0.08343342893388254,0.11228825983674348,0.6082541647338867,-0.09154751249790194,0.026728000000000085,0.0758346203985444,-1.9842122075538795,0.06472000000000011,0.007046186880000002,0.030626579662917975,0.06588000000000005,-0.12880000000000003,-0.08026067526896791,0.06580131363281384,1.6129691509164141,-0.09708285233020786,0.005044739000914702,0.026651596305354457,0.053034764289855874,-0.13540380504608152,0.058543990055719974,0.020685496206115137,-0.39102985868570395,0.06247997283935547,0.0007421995218701721,0.008148785535776058,0.07243996858596802,0.0153999924659729,0
config_random_29e38250-5d3d-487e-9632-d5976cbfb3d8,ft,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.23333333333333317,-0.4861789005360529,3.7072779801268085,-1.0,-0.6333333333333334,-0.23333333333333334,0.0,1.0,-0.6333333333333334,-0.4284117360702126,1.937248910211295,-1.0,-0.5333333333333334,-0.20749907201072743,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.050624066337108586,0.27072593856261634,2.2528472513461084,-0.08691228065729145,0.08325988948077054,0.10980610599314636,0.6098004140758514,-0.08078618148326877,0.020551999999999904,0.07141062583946606,-1.6295436812671076,0.05944000000000005,0.006951050880000002,0.028648109149680294,0.05740000000000001,-0.12832,-0.06714764215071994,0.05384053989765888,2.3755118218480433,-0.08483881187915798,0.004771726021606912,0.02130257567829434,0.053484636802673347,-0.10495278416156767,0.05091199676195779,0.021191538715810546,-2.36036347767847,0.059599995613098145,0.0007496326035303963,0.008375094626012764,0.06099998950958252,0.00363999605178833,0
config_random_29e38250-5d3d-487e-9632-d5976cbfb3d8,ft,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,-0.4472135954999579,-2.2360679774997894,0.0,-0.20000000000000004,-0.2,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.43333333333333335,-0.4861789005360529,1.191701505439547,0.0,-0.6333333333333334,-0.23333333333333334,-1.0,0.0,0.16666666666666666,0.40824829046386296,2.449489742783178,0.0,0.16666666666666669,0.16666666666666669,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.048959066848278,0.2801828540697059,1.3267060358477119,-0.07851966619729994,0.08351863284309075,0.11403536717941119,0.6186322205352782,-0.09486374138355258,0.019127999999999923,0.07813679446514536,-1.6642342249758202,0.05640000000000012,0.007080209280000001,0.03165614320470935,0.06291999999999998,-0.13983999999999996,-0.07590748070128767,0.052187268372098194,0.675484283149077,-0.08905808469295506,0.004711481235796695,0.02056321017501065,0.033470209021568276,-0.11803053456783297,0.05572800437609349,0.01591117996189112,-2.130883685018053,0.06511998176574707,0.0006468611556914067,0.00601364640214278,0.06003999710083008,0.015560030937194824,0
config_random_29e38250-5d3d-487e-9632-d5976cbfb3d8,ft,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.033333333333333215,-0.8955921905766666,1.908102691832093,0.0,-1.5333333333333334,-0.4164285228178633,-1.0,1.0,0.16666666666666666,0.40824829046386296,2.449489742783178,0.0,0.16666666666666669,0.16666666666666669,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04583850074243534,0.2791342541011204,1.6562973110412929,-0.0839350467991829,0.08349875986851522,0.11356641901721894,0.6138570809173584,-0.0940728936100006,0.023527999999999993,0.07767000897129621,-3.6631066018038725,0.06344000000000005,0.007074167680000002,0.03144739038567785,0.06268000000000007,-0.13735999999999993,-0.0758029224823315,0.051457868046763514,1.3157128675714385,-0.09332180673122403,0.00468316415540234,0.02023701243295889,0.035259224405288614,-0.11561257940769198,0.05537599126497905,0.017751462340410924,-1.543124150261722,0.05975997447967529,0.0006890092227122826,0.0068366457013758365,0.06507998704910278,0.01355999708175648,0
